Mach,CdB
0.006,0.12
0.006,0.12
0.006,0.12
0.006,0.12
0.006,0.12
0.007,0.12
0.007,0.12
0.008,0.12
0.009,0.12
0.01,0.12
0.011,0.12
0.012,0.12
0.013,0.12
0.014,0.12
0.015,0.12
0.016,0.12
0.017,0.12
0.018,0.12
0.019,0.12
0.02,0.12
0.022,0.12
0.023,0.12
0.024,0.12
0.025,0.12
0.026,0.12
0.027,0.12
0.029,0.12
0.03,0.12
0.031,0.12
0.032,0.12
0.034,0.12
0.035,0.12
0.036,0.12
0.037,0.12
0.039,0.12
0.04,0.12
0.041,0.12
0.042,0.12
0.044,0.12
0.045,0.12
0.046,0.12
0.048,0.12
0.049,0.12
0.05,0.12
0.052,0.12
0.053,0.12
0.054,0.12
0.056,0.12
0.057,0.12
0.059,0.12
0.061,0.12
0.064,0.121
0.065,0.121
0.067,0.121
0.07,0.121
0.074,0.121
0.078,0.121
0.083,0.121
0.087,0.121
0.092,0.121
0.096,0.121
0.101,0.121
0.106,0.121
0.11,0.122
0.115,0.122
0.12,0.122
0.125,0.122
0.129,0.122
0.134,0.122
0.139,0.123
0.144,0.123
0.149,0.123
0.155,0.123
0.16,0.123
0.165,0.124
0.171,0.124
0.176,0.124
0.182,0.124
0.187,0.125
0.193,0.125
0.199,0.125
0.205,0.125
0.211,0.126
0.217,0.126
0.224,0.126
0.23,0.127
0.236,0.127
0.243,0.128
0.249,0.128
0.256,0.129
0.263,0.129
0.27,0.129
0.276,0.13
0.283,0.13
0.291,0.131
0.298,0.132
0.305,0.132
0.312,0.133
0.32,0.133
0.327,0.134
0.335,0.135
0.342,0.135
0.35,0.136
0.358,0.137
0.366,0.137
0.373,0.138
0.381,0.139
0.389,0.14
0.397,0.141
0.406,0.141
0.414,0.142
0.422,0.143
0.43,0.144
0.439,0.145
0.447,0.146
0.455,0.147
0.458,0.147
0.455,0.147
0.452,0.147
0.448,0.146
0.445,0.146
0.442,0.145
0.438,0.145
0.435,0.145
0.432,0.144
0.428,0.144
0.425,0.143
0.422,0.143
0.419,0.143
0.415,0.142
0.412,0.142
0.409,0.142
0.406,0.141
0.403,0.141
0.4,0.141
0.397,0.141
0.394,0.14
