Time(s),Thrust(N)
0,0
0.03,564.8776
0.06,571.19211
0.09,577.42663
0.12,583.58123
0.15,589.65601
0.18,595.65107
0.21,601.56647
0.24,607.40232
0.27,613.15868
0.3,618.83564
0.33,624.43327
0.36,629.95166
0.39,635.39085
0.42,640.75094
0.45,646.03199
0.48,651.23406
0.51,656.35722
0.54,661.40154
0.57,666.36706
0.6,671.25386
0.63,676.06199
0.66,680.7915
0.69,685.44246
0.72,690.01492
0.75,694.50892
0.78,698.92452
0.81,703.26176
0.84,707.52071
0.87,711.70139
0.9,715.80386
0.93,722.55092
0.96,731.05088
0.99,739.47459
1.02,747.81662
1.05,756.07154
1.08,764.23386
1.11,772.29812
1.14,780.25882
1.17,788.11048
1.2,795.84761
1.23,803.46474
1.26,810.95642
1.29,818.31723
1.32,825.54177
1.35,832.6247
1.38,839.56073
1.41,846.3446
1.44,852.97113
1.47,859.43522
1.5,865.73183
1.53,871.85602
1.56,877.80294
1.59,883.56783
1.62,889.14605
1.65,894.53307
1.68,899.72448
1.71,904.716
1.74,909.5035
1.77,914.08296
1.8,918.45054
1.83,922.60253
1.86,926.53541
1.89,930.2458
1.92,933.7305
1.95,936.9865
1.98,940.01096
2.01,942.80124
2.04,945.35487
2.07,947.6696
2.1,949.74337
2.13,951.57433
2.16,953.16083
2.19,954.50144
2.22,955.59492
2.25,956.44029
2.28,957.03673
2.31,957.38369
2.34,957.4808
2.37,957.32794
2.4,956.92519
2.43,956.27286
2.46,0.0
